Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Consumption
CAREY GARDENS,BROOKLYN,CAREY GARDENS,,Not Applicable,,166,288,K016600,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897488,6/1/12,5/25/12,6/30/12,36,2308912000-OIL,N         ,$209.50 ,74
CAREY GARDENS,BROOKLYN,CAREY GARDENS,,Not Applicable,,166,288,K016600,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897489,9/1/12,8/27/12,9/25/12,29,2308912000-OIL,N         ,$173.21 ,50
CAREY GARDENS,BROOKLYN,CAREY GARDENS,,Not Applicable,,166,288,K016600,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897490,11/1/12,10/24/12,11/26/12,33,2308912000-OIL,N         ,"$27,455.48 ",8121
CAREY GARDENS,BROOKLYN,CAREY GARDENS,,Not Applicable,,166,288,K016600,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897491,12/1/12,11/26/12,12/26/12,30,2308912000-OIL,N         ,"$83,754.46 ",25448
CAREY GARDENS,BROOKLYN,CAREY GARDENS,,Not Applicable,,166,288,K016600,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897475,3/1/12,2/23/12,3/26/12,32,2308912200-OIL,N         ,$558.72 ,161
CAREY GARDENS,BROOKLYN,CAREY GARDENS,,Not Applicable,,166,288,K016600,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897476,11/1/12,10/24/12,11/26/12,33,2308912200-OIL,N         ,"$57,842.11 ",17109
CAREY GARDENS,BROOKLYN,CAREY GARDENS,,Not Applicable,,166,288,K016600,FEDERAL,NY005011660P,"S.J. Fuel Co., Inc.",2897477,12/1/12,11/26/12,12/26/12,30,2308912200-OIL,N         ,"$146,162.19 ",44410
CARLETON MANOR,QUEENS,CARLETON MANOR,,Not Applicable,,164,270,Q016400,FEDERAL,NY005010750P,"East Coast Petroleum, Inc.",2898241,11/1/12,10/25/12,11/26/12,32,0069940001-OIL,N         ,"$13,297.17 ",3873
CARLETON MANOR,QUEENS,CARLETON MANOR,,Not Applicable,,164,270,Q016400,FEDERAL,NY005010750P,"East Coast Petroleum, Inc.",2898242,12/1/12,11/26/12,12/21/12,25,0069940001-OIL,N         ,"$53,673.07 ",16052
CARVER,MANHATTAN,CARVER,,Not Applicable,,58,534,M005800,FEDERAL,NY005000580P,"S.J. Fuel Co., Inc.",2896660,1/1/12,12/23/11,1/25/12,33,495416025400003-OIL,N         ,$856.23 ,266
CASTLE HILL,BRONX,CASTLE HILL,,Not Applicable,,80,431,B008000,MIXED FINANCE/LLC1,NY005000800P,"S.J. Fuel Co., Inc.",2897139,1/1/12,12/23/11,1/25/12,33,395416147300009-OIL,N         ,$266.09 ,83
CASTLE HILL,BRONX,CASTLE HILL,,Not Applicable,,80,431,B008000,MIXED FINANCE/LLC1,NY005000800P,"S.J. Fuel Co., Inc.",2897140,4/1/12,3/26/12,4/24/12,29,395416147300009-OIL,N         ,"$1,091.29 ",325
CASTLE HILL,BRONX,CASTLE HILL,,Not Applicable,,80,431,B008000,MIXED FINANCE/LLC1,NY005000800P,"S.J. Fuel Co., Inc.",2897141,5/1/12,4/24/12,5/23/12,29,395416147300009-OIL,N         ,$6.29 ,2
CASTLE HILL,BRONX,CASTLE HILL,,Not Applicable,,80,431,B008000,MIXED FINANCE/LLC1,NY005000800P,"S.J. Fuel Co., Inc.",2897142,6/1/12,5/23/12,6/22/12,30,395416147300009-OIL,N         ,$5.71 ,2
CHELSEA,MANHATTAN,CHELSEA,,Not Applicable,,134,446,M013400,MIXED FINANCE/LLC1,NY005011340P,"S.J. Fuel Co., Inc.",2896497,11/1/12,10/23/12,11/21/12,29,495416070101001-OIL,N         ,$433.87 ,129
CHELSEA,MANHATTAN,CHELSEA,,Not Applicable,,134,446,M013400,MIXED FINANCE/LLC1,NY005011340P,"S.J. Fuel Co., Inc.",2896498,12/1/12,11/21/12,12/24/12,33,495416070101001-OIL,N         ,"$1,276.74 ",390
