site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840360610117,0,10,20070218T2300-0500,88501,60,0,10.2,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070114T2300-0500,88501,60,0,9.4,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061231T2300-0500,88501,60,0,5.1,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061224T2300-0500,88501,60,0,8,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061122T2300-0500,88501,60,0,9.5,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061110T2300-0500,88501,60,0,19.5,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061109T2300-0500,88501,60,0,20.4,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20061008T2300-0500,88501,60,0,12.3,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060703T2300-0500,88501,60,0,47.5,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060528T2300-0500,88501,60,0,35.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060219T2300-0500,88501,60,0,18.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060115T2300-0500,88501,60,0,8,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060101T2300-0500,88501,60,0,13.1,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070623T2300-0500,88501,60,0,4.3,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060923T2300-0500,88501,60,0,37.5,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070423T2300-0500,88501,60,0,17.4,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060413T2300-0500,88501,60,0,8.4,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20060808T2300-0500,88501,60,0,9.4,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070611T2300-0500,88501,60,0,5.1,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070508T2300-0500,88501,60,0,10,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
840360610117,0,10,20070524T2300-0500,88501,60,0,21.9,105,0,3,40.72333,-73.98231,WGS84,0,701,1,-10,,
